ONBOARDING for:,firstname lastname,,
Preferred firstname lastname (if different),firstname lastname,,
Account Name:,firstname.lastname,,
Boom E-mail address:,firstname.lastname@boom.aero,,
Personal E-mail address:,,,
Start Date:,,,
Worker type:,"(FTE, CON, INT, etc)",,
Ticket link:,,,
Laptop Type:,,,
Desk Location:,,,
,,,
,,,
Item,Who typically has,Done By,Status
"Hardware type determined - 3D Windows, Windows, Mac, etc",,,
Hardware procured / received,,,
Hardware imaged,,,
Hardware updated,,,
"Desk identified, on map",,,
Peripherals kitted,,,
AD - AD account create / reactivate ,All FTE & Contractors,,
"AD - Set extended attributes - Email, Country, EmployeeType, Department",All FTE & Contractors,,
Google - Google account create / reactivate,All FTE & Contractors,,
Google - Move User to Proper OU (May be US Persons),All FTE & Contractors,,
Google - Add to appropriate groups,All FTE & Contractors,,
Google - Add to team@ or contractors@ group,All FTE & Contractors,,
Google - Remove e-mail forwarding if this is a reactivation,Returning offboards,,
Slack - Create Slack,All FTE & Contractors,,
Slack - Add to proper channels,All FTE & Contractors,,
Okta - Synchronize Okta Directory after new AD addition,All FTE & Contractors,,
Okta - Create new user,All FTE & Contractors,,
Okta - Set Secondary E-mail in Profile to their Personal,All FTE & Contractors,,
"Okta - Click ""Activate"" to issue their enrollment email",All FTE & Contractors,,
Zoom,All FTE & Contractors,,
Office365,All FTE & Contractors,,
Ramp,All FTE & Contractors,,
Badge printed,All FTE & Contractors,,
Brivo access,All FTE & Contractors,,
